gen,sp,filename
Garrulus,glandarius,Take328EurasianJayViernhHeide13-08-2010-16Uhr55.wav
Garrulus,glandarius,XC238560-30724_000-05ri-renw mp3.wav
Garrulus,glandarius,XC276689-30932_131i-05 mp3.wav
Garrulus,glandarius,XC521387-555570a-mp3- (5).wav
Garrulus,glandarius,XC112636-2724 mp3.wav
Garrulus,glandarius,XC475527-20170521-20-00-ble-jay-songbirds-traffic.wav
Garrulus,glandarius,XC281951-30978_000i mp3.wav
Garrulus,glandarius,XC129595-EichelhNorderwurth16-4-13_11-00.wav
Garrulus,glandarius,XC461919-2019.02.25_10.33_01.wav
Garrulus,glandarius,XC148746-4402Ö mp3.wav
Garrulus,glandarius,XC602107-eich0902.wav
Garrulus,glandarius,XC493170-eichel1339.wav
Garrulus,glandarius,XC298228-5054_000aiffyyyö-03hiequ mp3.wav
Garrulus,glandarius,XC611869-Garrulus_glandarius_B_ML_20201228_110712_XC.wav
Garrulus,glandarius,XC307141-5102_239-01hiaudequ mp3.wav
Garrulus,glandarius,XC597888-biOsmid3C001-01equ (8).wav
Garrulus,glandarius,XC189453-30378 - 2 x mp3.wav
Garrulus,glandarius,XC520433-555569-a-Wav-04subsong.wav
Garrulus,glandarius,XC411652-Eichelhäher-kl.wav
Garrulus,glandarius,EichelhDuesternhpN18-3-12_7-46.wav
Garrulus,glandarius,XC584003-31741-ö-06.wav
Garrulus,glandarius,EichelhSuederhMoor15-4-11_11-11.wav
Garrulus,glandarius,XC193850-30454_000 - 5 x mp3.wav
Garrulus,glandarius,XC306430-5096_059-01hiaudequ mp3.wav
Garrulus,glandarius,XC188971-30354_257 - 5 xz mp3.wav
Garrulus,glandarius,XC153106-131101_0186HNEqR mp3.wav
Garrulus,glandarius,XC313318-5125_180-04audj mp3.wav
Garrulus,glandarius,XC244544-30735_179-02riµ mp3.wav
Garrulus,glandarius,XC168136-tmp_recording-20140225-095834448529646.wav
Garrulus,glandarius,XC171711-LS_30138x mp3.wav
Garrulus,glandarius,XC168044-140223EichelhäherRufeFH3.wav
Garrulus,glandarius,XC356135-170219_27EichelhaeherBussardruf.wav
Garrulus,glandarius,XC603506-lox201106_mp3.0020-01ö (2).wav
Garrulus,glandarius,XC337216-GER Eurasian Jay call gold 1215 160916 ftr NK.wav
Garrulus,glandarius,XC613937-210109_11EHXC.wav
Garrulus,glandarius,Take398Eurasian Jay-Viernh.Heide-04-09-2010-16Uhr.wav
Garrulus,glandarius,XC466492-FRFRVä 555591a-ö-10miµ mp3.wav
Garrulus,glandarius,XC527291-555584b-mp3 (6).wav
Garrulus,glandarius,XC385312-Jay_buzzard-calls_20170825_083035_prepared.wav
Garrulus,glandarius,EichelhaeherKahlbueth13-3-11_7-38.wav
Garrulus,glandarius,XC306444-5096_179-03hiaudequ mp3.wav
Garrulus,glandarius,XC617810-210123_0203 Eichelhäher Beerbusch.wav
Garrulus,glandarius,XC391361-54448_0733´ mp3.wav
Garrulus,glandarius,XC541067-higVOLtaSall31924Wav-31.wav
Garrulus,glandarius,XC127073-3263RE mp3.wav
Garrulus,glandarius,EichelhHiuPanoC7-4-8_8-28.wav
Garrulus,glandarius,XC520436-555569-a-Wav-08LO.EICHELH.wav
Garrulus,glandarius,XC270116-30926_263i-04 mp3.wav
Garrulus,glandarius,"XC501517-191008_1590 1300. Eichelhäher D, NW, LEV. Stephan Risch.wav"
Garrulus,glandarius,XC336997-1419_299-02hipan mp3.wav
Garrulus,glandarius,XC419686-Garrulus glandarius_2017.04.27.wav
Garrulus,glandarius,XC234686-eich0830.wav
Garrulus,glandarius,EichelhaeherHBWald21-3-12_11-30.wav
Garrulus,glandarius,EichelhHBWaldSued23-3-12_10-02xc.wav
Garrulus,glandarius,XC605034-201122_mp3.0028-01ö (7).wav
Garrulus,glandarius,XC584118-31741-ö-17.wav
Garrulus,glandarius,XC529763-200121 Eichelhäher top (Erlenzeisige) Schwinkenrade Nord.wav
Garrulus,glandarius,XC174982-eich.wav
Garrulus,glandarius,XC363897-eichel0645.wav
Garrulus,glandarius,XC263789-30879_000-01ü mp3.wav
Garrulus,glandarius,XC520178-555567-a-Wav-10eichel-alarm.wav
Garrulus,glandarius,XC124133-3163RE mp3.wav
Garrulus,glandarius,1784 mp3.wav
Garrulus,glandarius,EichelhHBWaldSued8-3-12_9-36.wav
Garrulus,glandarius,EichelhDuoNHolzwKaefall27-3-11_8-10.wav
Garrulus,glandarius,XC622678-20210219-171600-blue-jay-great-tit.wav
Garrulus,glandarius,XC584110-31741-ö-11middle-down.wav
Garrulus,glandarius,"XC610403-EICHELHÄHER, Rufformen  18.12.‎2020  HhWald Nord  ‏‎12_07  VOC_201218-1577  Ausschn..wav"
Garrulus,glandarius,XC144248-30802YY_01-6Ü mp3.wav
Garrulus,glandarius,XC307142-5102_239-02hiaudequ mp3(128 kBits).wav
Garrulus,glandarius,XC600874-201031_mp3.0012ö (11).wav
Garrulus,glandarius,XC390902-170306_0933 1300 Garmish_Jay SNS.wav
Garrulus,glandarius,XC298225-5054_000-16yyähiequkk mp3.wav
Garrulus,glandarius,XC189451-30377 - 1 x mp3.wav
Garrulus,glandarius,XC213868-150216EichelhäherRufFH3edit.wav
Garrulus,glandarius,XC584521-31743-b-ö-18down-down.wav
Garrulus,glandarius,XC121750-EichelhHBWaldSued23-3-12_10-55.wav
Garrulus,glandarius,XC214838-150222EichelhäherRufFH3editA.wav
Garrulus,glandarius,XC337094-5240_184-02hiequen mp3.wav
Garrulus,glandarius,XC267791-30906_065-02ü mp3.wav
Garrulus,glandarius,XC133694-3609HVREhH mp3.wav
Garrulus,glandarius,XC419679-Garrulus glandarius_2016.03.26.wav
Garrulus,glandarius,XC281954-30980_119i-02 mp3(167kBits).wav
Garrulus,glandarius,XC351491-1395_059-04tut mp3.wav
Garrulus,glandarius,XC360466-2817-02_119-02tut mp3.wav
Garrulus,glandarius,XC276589-30932_000-06i mp3.wav
Garrulus,glandarius,XC354845-170128EichelhäherRufFH2.wav
Garrulus,glandarius,XC342137-5259_185-04hiequn mp3.wav
Garrulus,glandarius,XC539707-Eichelhaher_1 Affenalarm (1).wav
Garrulus,glandarius,XC614399-EICHELHÄHER   8.08.2017  Egelsee  10_00  VOC_170808-5632 GÜLT..wav
Garrulus,glandarius,XC214874-30700_059-03mut mp3.wav
Garrulus,glandarius,XC302092-5072_135-06hiequ mp3.wav
Garrulus,glandarius,XC189452-30378 - 1 x mp3.wav
Garrulus,glandarius,XC238561-30724_000-06ri-renw mp3.wav
Garrulus,glandarius,XC520441-555569-c-Wav-03EICH-MIDDLE.wav
Garrulus,glandarius,XC308733-eich0600.wav
Garrulus,glandarius,XC407089-eichel0735.wav
Garrulus,glandarius,XC281949-30977_059i-06 mp3.wav
Garrulus,glandarius,XC316191-1267_125audj mp3.wav
Garrulus,glandarius,XC585680-200331 Eichelhäher Mimickry Habicht WC 1837.wav
Garrulus,glandarius,XC196183-140920EichelhäherFH8edit.wav
Garrulus,glandarius,XC168902-Eichelhäher Gesang 4.wav
Garrulus,glandarius,XC462692-BadVXC.wav
Garrulus,glandarius,MaeusebussEichelhRabenhzOdd19-4-8_6-29.wav
Garrulus,glandarius,XC292421-151121EichelhäherAlarmFH5edit.wav
Garrulus,glandarius,Eichelhaeher-ViernheimerH-2011-04-03-09Uhr54.wav
Garrulus,glandarius,XC467920-C001Alof2-ÜÜ-02w-ö-02µµ mp3.wav
Garrulus,glandarius,Take405Eurasian Jay-Viernh.Heide-04-09-2010-18Uhr05.wav
Garrulus,glandarius,WasGaushMoor25-4-11_6-38.wav
Garrulus,glandarius,XC520435-555569-a-Wav-07LO.EICHEL.wav
Garrulus,glandarius,Eur_jay_2_echo_blaubeuren_23_01_2010.wav
Garrulus,glandarius,1783 mp3(1bb).wav
Garrulus,glandarius,XC396248-Eichelhäher_17.12.17c.wav
Garrulus,glandarius,XC187820-30343_279 - 1x mp3.wav
Garrulus,glandarius,XC114817-1007fi-re mp3.wav
Garrulus,glandarius,XC597889-biOsmid3C001-01equ (9).wav
Garrulus,glandarius,XC195292-30465_251 - 7 x mp3.wav
Garrulus,glandarius,XC176893-eich1653.wav
Garrulus,glandarius,XC352509-1390_179hiequen mp3.wav
Garrulus,glandarius,XC240997-30730_000-03riµ mp3.wav
Garrulus,glandarius,Take366EurasianJayViernhHeideViernhHeide22-08-2010-8Uhr25.wav
Garrulus,glandarius,XC302090-5072_135-01hiequ mp3.wav
Garrulus,glandarius,Take259Eichelh21Uhr.wav
Garrulus,glandarius,XC419684-Garrulus glandarius_2016.12.08.wav
Garrulus,glandarius,XC585624-31743-b-ö-26ÖÖlongWav-03.wav
Garrulus,glandarius,XC308926-5106_053-02hiaudequ mp3.wav
Garrulus,glandarius,XC347359-161219EichelhäherRufFH1edit.wav
Garrulus,glandarius,XC338099-5246_246-02hiequen mp3.wav
Garrulus,glandarius,Take407Eurasian Jay-Viernh.Heide-04-09-2010-18Uhr10.wav
Garrulus,glandarius,XC168138-tmp_recording-20140225-100321-127815803.wav
Garrulus,glandarius,Take404Eurasian Jay-Viernh.Heide-04-09-2010-18Uhr.wav
Garrulus,glandarius,XC563153-200328 Eichelhäher Ruf FH 1700 Extrakt.wav
Garrulus,glandarius,XC270118-30927_000i-01 mp3.wav
Garrulus,glandarius,XC316195-1268_000-03audj mp3.wav
Garrulus,glandarius,WasGrotVierthdeel23-4-8_17-16.wav
Garrulus,glandarius,XC188972-30357_187 - 5 YYxz mp3.wav
Garrulus,glandarius,XC600877-201031_mp3.0012ö (7).wav
Garrulus,glandarius,XC153105-131101_0182-1HNEqR mp3.wav
Garrulus,glandarius,XC361311-Eichelhäher-Gruppenbalz.wav
Garrulus,glandarius,XC252646-2015_06_14_T264_Eurasian-Jay_AltrheinMannheim-06Uhr50.wav
Garrulus,glandarius,XC342141-5259_308-01hiequn mp3.wav
Garrulus,glandarius,XC194571-30462_206 x mp3.wav
Garrulus,glandarius,XC361166-5340-04_120-03tut mp3.wav
Garrulus,glandarius,XC610401-EICHELHÄHER  ‎18.12.‎2020  HhWald Nord  ‏‎12_07  VOC_201218-1577.wav
Garrulus,glandarius,XC291201-551729-1hiequ mp3.wav
Garrulus,glandarius,XC598857-181119_0042-ÜÜ-02a-ö-06T.wav
Garrulus,glandarius,XC281952-30980_059i-05 mp3.wav
Garrulus,glandarius,XC127136-Eichelhäher imitiert Saatkrähe 2013 03 17 Fischbach-a.wav
Garrulus,glandarius,XC357050-056-02_062-02tut mp3.wav
Garrulus,glandarius,XC267383-30917_000ü mp3 mp3.wav
Garrulus,glandarius,XC267386-30917_131-02ü mp3.wav
Garrulus,glandarius,XC167995-eichelh.wav
Garrulus,glandarius,XC308770-C009_126-04hiaudequ mp3.wav
Garrulus,glandarius,XC520453-555569-g-Wav-01sumpfmei.wav
Garrulus,glandarius,XC389362-rc_56_Garrulus_glandarius_final_cut_edited.wav
Garrulus,glandarius,Take453_Eichelhaeher_ViernheimerH_2011_04_23-8Uhr50.wav
Garrulus,glandarius,XC603630-eichel0833.wav
Garrulus,glandarius,XC304929-160228_18EichelhaeherXC.wav
Garrulus,glandarius,XC352522-1399_000-02tut mp3.wav
Garrulus,glandarius,XC127796-EichelhKahlbuethN30-3-13_7-21.wav
Garrulus,glandarius,XC391359-54448_0633´ mp3.wav
Garrulus,glandarius,XC214861-30692_000-02mut mp3.wav
Garrulus,glandarius,XC351482-1393_059-01tut mp3.wav
Garrulus,glandarius,XC270120-30927_000i-02y mp3.wav
Garrulus,glandarius,XC342931-5268_246-02hiequn mp3.wav
Garrulus,glandarius,XC618092-eichel 0830.wav
Garrulus,glandarius,XC127187-3245ERaa mp3.wav
Garrulus,glandarius,EichelhaeherHiuGrotVierth10-4-8_12-12.wav
Garrulus,glandarius,XC500885-higINDiS_31948all02 mp3 (1).wav
Garrulus,glandarius,XC331373-Jay_20160416_084144_prepared.wav
Garrulus,glandarius,1926 mp3.wav
Garrulus,glandarius,XC584884-31743-b-Ü-26--ö-02down.wav
Garrulus,glandarius,XC127077-3254R mp3.wav
Garrulus,glandarius,XC282770-30984_215i mp3.wav
Garrulus,glandarius,XC289964-31113_134hiequ mp3.wav
Garrulus,glandarius,XC295606-31162_000-02auda mp3.wav
Garrulus,glandarius,XC587433-555585-ö-01middle.wav
Garrulus,glandarius,XC188973-30357_249 - 1 xz mp3.wav
Garrulus,glandarius,XC189449-30375 - 2 x mp3.wav
Garrulus,glandarius,XC306775-5099_059-07hiaudequ mp3.wav
Garrulus,glandarius,Take400Eurasian Jay-Viernh.Heide-04-09-2010-17Uhr50.wav
Garrulus,glandarius,XC281957-30978_053i-02 mp3.wav
Garrulus,glandarius,Take399Eurasian Jay-Viernh.Heide-04-09-2010-16Uhr05.wav
Garrulus,glandarius,XC214925-30703_061-06mut mp3.wav
Garrulus,glandarius,"XC531104-EICHELHÄHER, Bussardimitat.   22.02.2020   HhFM N 11_08  VOC_200222-0196.wav"
Garrulus,glandarius,XC214860-30692_000-01mut mp3.wav
Garrulus,glandarius,XC298259-5051_125-01hiequkk mp3.wav
Garrulus,glandarius,XC333444-5183_059-01hieqn mp3.wav
Garrulus,glandarius,XC283964-150925EichelhäherRuf2bEdit.wav
Garrulus,glandarius,XC522684-555579-Wav15.wav
Garrulus,glandarius,XC524320-555583-Wav14.wav
Garrulus,glandarius,XC298258-5051_062-06hiequkk mp3.wav
Garrulus,glandarius,XC466491-++FRw555592a-ö-16µ mp3.wav
Garrulus,glandarius,Eur_jay_blaubeuren_23_01_2010.wav
Garrulus,glandarius,XC177165-140429EichelhäherRufFH5edit.wav
Garrulus,glandarius,XC267797-30906_197yyü mp3(192kBits).wav
Garrulus,glandarius,Eichelhaeher-ViernheimerH-2011-04-03-09Uhr55.wav
Garrulus,glandarius,XC281950-30977_119-01-Y-Yi mp3.wav
Garrulus,glandarius,EichelhUehrde24-5-12_9-38.wav
Garrulus,glandarius,XC316193-1267_251audj mp3.wav
Garrulus,glandarius,XC475666-eichel0513.wav
Garrulus,glandarius,Take252Eichellh.wav
Garrulus,glandarius,XC189450-30376 x mp3.wav
Garrulus,glandarius,XC491732-2019.07.07_06.05_01.wav
Garrulus,glandarius,EichelhKuethbuethN1-4-12_9-56.wav
Garrulus,glandarius,XC202990-141107EichelhäherAlarmFH2edit.wav
Garrulus,glandarius,XC463402-Garrulus glandarius_2019.02.20_10.38_01.wav
Garrulus,glandarius,XC381650-eichelh0554.wav
Garrulus,glandarius,XC277780-30946i mp3.wav
Garrulus,glandarius,EichelhDuoNHolzwKaefall27-3-11_7-27.wav
Garrulus,glandarius,XC305711-5093_000-04hiequ mp3.wav
Garrulus,glandarius,XC407087-eichel0733.wav
Garrulus,glandarius,XC243600-Eichelhäher.wav
Garrulus,glandarius,Eichelhaeher-ViernheimerH-2011-04-03-09Uhr56.wav
Garrulus,glandarius,XC356862-170218EichelhäherRufFH5.wav
Garrulus,glandarius,XC407639-DM671239_EH_Schluss.wav
Garrulus,glandarius,XC298227-5054_000aiffyyy-08alyähiequkk mp3.wav
Garrulus,glandarius,XC179682-140526EichelhäherRufFH1edit.wav
Garrulus,glandarius,"XC584109-31741-ö-10-0bis3,00-middle-down.wav"
Garrulus,glandarius,A Eichelhaeher.wav
Garrulus,glandarius,XC589332-EICHELHÄHER m. Mäusebuss.Imitationen  15.092020  ZellseeS  12_08  VOC_200915-1431 .wav
Garrulus,glandarius,XC342165-5263_000hiqun mp3.wav
Garrulus,glandarius,XC464949-Garrulus glandarius_2019.02.21_10.45_01.wav
Garrulus,glandarius,XC390983-1555Ü-03_000-01´ mp3.wav
Garrulus,glandarius,XC601996-201101_0014.wav.02ö (12).wav
Garrulus,glandarius,XC316846-1292_291-03audj mp3.wav
Garrulus,glandarius,XC611692-Garrulus_glandarius_A__ML_201225_0048_XC.wav
Garrulus,glandarius,EichelhRW-WalterNord18-3-12_7-46.wav
Garrulus,glandarius,XC453641-Garrulus glandarius_call_2018.12.31_10.36_01_Neuenheimer Feld.wav
Garrulus,glandarius,XC196916-30471_179 - 4 x mp3 (2).wav
Garrulus,glandarius,1785bb mp3.wav
Garrulus,glandarius,XC603953-lox201108_mp3.0024ö (13).wav
Garrulus,glandarius,XC137958-30528_YY_2_ 5Ü mp3.wav
Garrulus,glandarius,1679soHpF mp3.wav
Garrulus,glandarius,XC520440-555569-c-Wav-01MIDDL-SU.wav
Garrulus,glandarius,2012_03_07_Garrulus_glandarius_Roxheimer_Silbersee_08Uhr09.wav
Garrulus,glandarius,XC179190-131230EichelhäherFH1edit.wav
Garrulus,glandarius,XC623797-210219_0229 Eichelhäher Beerbusch.wav
Garrulus,glandarius,XC167666-LS_30023+024x mp3.wav
Garrulus,glandarius,XC148750-4406Ö mp3.wav
Garrulus,glandarius,XC215709-GarrulusGlandarius_D_Freiburg_3Mar2015.wav
Garrulus,glandarius,A Eichelhaeher LI.wav
Garrulus,glandarius,XC407638-DM671239_EH_Anfang.wav
Garrulus,glandarius,XC235324-30715_062-09ri-renw mp3.wav
Garrulus,glandarius,XC168658-Eurasian Jay_Distelhausen_Germany_20140303_T.Sacher.wav
Garrulus,glandarius,XC520434-555569-a-Wav-06EICHE.wav
Garrulus,glandarius,XC523662-Habicht.wav
Garrulus,glandarius,XC501724-xcxchigINDiS_31949all-02 mp3 (5).wav
Garrulus,glandarius,XC308907-5105_000-09hiaudequ mp3.wav
Garrulus,glandarius,XC307996-160321EichelhäherRufFH4edit 49.02641.wav
Garrulus,glandarius,"XC467528-Eichelhäher. D, NW, LEV. 2019-04-18. Stephan Risch.wav"
Garrulus,glandarius,XC178162-Eichelhäher_130514_Hilchenbach_ReaktionSpauzpfiffe.wav
Garrulus,glandarius,XC292502-31141_107-01hiequ mp3.wav
Garrulus,glandarius,XC297385-151220EichelhäherRufFH3bEdit.wav
Garrulus,glandarius,EichelhaeherRWLehrsbTeich3-3-12_10-07.wav
Garrulus,glandarius,XC255081-30823_197-02riµ mp3.wav
Garrulus,glandarius,XC237076-30721_251-17ri-renw mp3.wav
Garrulus,glandarius,Take364EurasianJayViernhHeideViernhHeide22-08-2010-8Uhr20.wav
Garrulus,glandarius,XC168903-Eichelhäher Gesang_Ruf.wav
Garrulus,glandarius,XC168905-Eichelhäher Gesang 3.wav
Garrulus,glandarius,XC330168-1412_000-02hipan mp3.wav
Garrulus,glandarius,XC522303-555570b-mp3 (17).wav
Garrulus,glandarius,XC215748-150221_1625-A- Eichelhäher imitiert Brachvogel Oberbaumg SeewaldXENO.wav
Garrulus,glandarius,XC584514-31743-b-ö-01down-down.wav
Garrulus,glandarius,XC352519-1392_179-04hiequen mp3(192 kBits).wav
Garrulus,glandarius,SchnarrenWasKahlbuethN13-3-11_6-42mono.wav
Garrulus,glandarius,XC189448-30375 - 1 x mp3.wav
Garrulus,glandarius,XC267291-30904_000-01yü mp3.wav
Garrulus,glandarius,XC618248-eichel1046.wav
Garrulus,glandarius,XC343178-5275_126-02tut mp3.wav
Garrulus,glandarius,XC463854-Garrulus glandarius_2019.02.16_16.39_01.wav
Garrulus,glandarius,XC530874-eichel1314.wav
Garrulus,glandarius,XC287129-Eichelhäher 2.wav
Garrulus,glandarius,XC475382-heathA2-0103_0079-04µµ mp3.wav
Garrulus,glandarius,"XC425996-EICHELHÄHER , Buss.imit., Alarmruf   18.04.2018  HhWald S   9_22  VOC_180418-5964 gült. xc.wav"
Garrulus,glandarius,XC142908-2012 03 11 call1xeno.wav
Garrulus,glandarius,XC164931-140116_0320-4HEqNR mp3.wav
Garrulus,glandarius,XC355945-rec_2017-02-17_00-49-08.wav
Garrulus,glandarius,XC603484-201102_0016mp3-01ö (22).wav
Garrulus,glandarius,Take251EichellhFuetterung.wav
Garrulus,glandarius,XC354844-170128EichelhäherRufFH1.wav
Garrulus,glandarius,XC256348-30807_197-02riµ mp3.wav
Garrulus,glandarius,Take408Eurasian Jay-Viernh.Heide-04-09-2010-18Uhr15.wav
Garrulus,glandarius,EichelhFuefiliSE23-3-12_6-40xc.wav
Garrulus,glandarius,EichelhuherKlevHopen9-9-12_11-28.wav
Garrulus,glandarius,XC388918-rc_32_Garrulus_glandarius_edited (1).wav
Garrulus,glandarius,XC238559-30722_000-04ri-renw mp3.wav
Garrulus,glandarius,XC171136-LS_30107-9x mp3.wav
Garrulus,glandarius,XC585678-200331 Eichelhäher Mimickry Habicht SNC FH 1830.wav
Garrulus,glandarius,XC376151-170617EichelhäherRufFH 1936.wav
Garrulus,glandarius,XC395872-171208_0196.wav
Circus,aeruginosus,XC543990-DM672901_Rohrweihe-xc_cut1E_rau1_HP800_NoiseV2.wav
Circus,aeruginosus,XC586239-xc-wa008411-000011.wav
Circus,aeruginosus,XC322544-rohrweihe0640.wav
Circus,aeruginosus,XC130668-Marsh Harrier_20130408_192242_prepared.wav
Circus,aeruginosus,XC586234-xc-wa008296-000058.wav
Circus,aeruginosus,XC419843-Rohrweihe_rufEinesMaennchenBeiUeberflugSeinesNestesOhneBeuteOderNachBeuteabgabe_bestaetigt_solo_oldenburgIprump_2018-06-09.wav
Circus,aeruginosus,XC331377-marsh harrier_20160403_181116_prepared.wav
Circus,aeruginosus,XC467177-190415_01XC.wav
Circus,aeruginosus,XC586233-xc-wa008296-000000.wav
Circus,aeruginosus,XC476808-RWXC.wav
Circus,aeruginosus,XC363588-rohrweihe0720.wav
Circus,aeruginosus,Take531_2011_05_14_Rohrweihe_Kirschgartshausen_9Uhr40.wav
Circus,aeruginosus,XC547095-rohrwei0558.wav
Circus,aeruginosus,XC331375-Marsh Harrier_20160403_181031_prepared.wav
Circus,pygargus,XC263431-Wiesenweihe.wav
Sylvia,nisoria,XC566397-DM673607_Sgm-Jungstare_rau1_cut1_Noise.wav
Sylvia,nisoria,XC480326-Sperbergrasmücke.wav
Sylvia,nisoria,XC318708-sperberg0955.wav
Sylvia,nisoria,XC415721-sperberg0836.wav
Sylvia,nisoria,XC566404-DM673607_Sgm-solo_rau1_cut2_Noise.wav
Sylvia,nisoria,XC570436-20200619_071732 nisoria OK XC.wav
Sylvia,nisoria,XC180334-DM650919_B.wav
Sylvia,nisoria,XC326694-Sperbergrasmücke.wav
Sylvia,nisoria,XC320604-sperberg0440.wav
Sylvia,nisoria,XC246212-sperber0530.wav
Sylvia,nisoria,XC262828-SperberGM 2 _.wav
Sylvia,nisoria,XC559376-sperbergr0741.wav
Sylvia,nisoria,XC371611-20170523 S. nisoria 3.wav
Sylvia,nisoria,XC369951-Sperbergrasmücke-13-05-bearbeitet.wav
Sylvia,nisoria,XC368727-Sperbergrasmücke3.wav
Sylvia,nisoria,XC326696-Sperbergrasmücke.wav
Sylvia,nisoria,110528 sylnis S 01.wav
Sylvia,nisoria,XC318709-sperberg0957.wav
Sylvia,nisoria,XC415722-sperberg0841.wav
Sylvia,nisoria,XC263179-SperberGM3_.wav
